date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:51:14	204342/204342	---M--	200	added ('OK')	image/jpeg	etag:%22f4e130bf93158311908612cfdbf671df%22	https://r.mobirisesite.com/718031/assets/images/photo-1533174072545-7a4b6ad7a6c3.jpeg	C:/Users/Anu%20Rose/Downloads/techfest/r.mobirisesite.com/718031/assets/images/photo-1533174072545-7a4b6ad7a6c3.jpg	(from https://718031.mobirisesite.com/)
17:51:15	89519/89519	---MCZ	200	added ('OK')	application/javascript	etag:W/%22556cc5605b9240604c835a60fe5a09da%22	https://r.mobirisesite.com/718031/assets/web/assets/jquery/jquery.min.js?rnd=1727007098590	C:/Users/Anu%20Rose/Downloads/techfest/r.mobirisesite.com/718031/assets/web/assets/jquery/jquery.mindf1b.js	(from https://718031.mobirisesite.com/)
17:51:18	78922/78922	---MCZ	200	added ('OK')	application/javascript	etag:W/%22dcacb8552bcc847669b9cad75eb845c1%22	https://r.mobirisesite.com/718031/assets/bootstrap/js/bootstrap.bundle.min.js?rnd=1727007098590	C:/Users/Anu%20Rose/Downloads/techfest/r.mobirisesite.com/718031/assets/bootstrap/js/bootstrap.bundle.mindf1b.js	(from https://718031.mobirisesite.com/)
17:51:19	15504/15504	---MCZ	200	added ('OK')	application/javascript	etag:W/%226d663afab2e110522a4d51bf9594f6b6%22	https://r.mobirisesite.com/718031/assets/parallax/jarallax.js?rnd=1727007098590	C:/Users/Anu%20Rose/Downloads/techfest/r.mobirisesite.com/718031/assets/parallax/jarallaxdf1b.js	(from https://718031.mobirisesite.com/)
17:51:20	7476/7476	---MCZ	200	added ('OK')	application/javascript	etag:W/%226146aa61669d1a0abf9d8deab0e9450d%22	https://r.mobirisesite.com/718031/assets/smoothscroll/smooth-scroll.js?rnd=1727007098590	C:/Users/Anu%20Rose/Downloads/techfest/r.mobirisesite.com/718031/assets/smoothscroll/smooth-scrolldf1b.js	(from https://718031.mobirisesite.com/)
17:51:20	9888/9888	---MCZ	200	added ('OK')	application/javascript	etag:W/%22f58f601418decb35a363c0edec056889%22	https://r.mobirisesite.com/718031/assets/ytplayer/index.js?rnd=1727007098590	C:/Users/Anu%20Rose/Downloads/techfest/r.mobirisesite.com/718031/assets/ytplayer/indexdf1b.js	(from https://718031.mobirisesite.com/)
17:51:21	2454/2454	---MCZ	200	added ('OK')	application/javascript	etag:W/%2290370ee0781c144539adb06c8e9e8b2a%22	https://r.mobirisesite.com/718031/assets/dropdown/js/navbar-dropdown.js?rnd=1727007098590	C:/Users/Anu%20Rose/Downloads/techfest/r.mobirisesite.com/718031/assets/dropdown/js/navbar-dropdowndf1b.js	(from https://718031.mobirisesite.com/)
17:51:21	3345/3345	---MCZ	200	added ('OK')	application/javascript	etag:W/%2226a4e208b9faca5e605cd387375a67c3%22	https://r.mobirisesite.com/718031/assets/scrollgallery/scroll-gallery.js?rnd=1727007098590	C:/Users/Anu%20Rose/Downloads/techfest/r.mobirisesite.com/718031/assets/scrollgallery/scroll-gallerydf1b.js	(from https://718031.mobirisesite.com/)
17:51:22	0/0	---M--	200	added ('OK')	application/javascript	etag:%22d41d8cd98f00b204e9800998ecf8427e%22	https://r.mobirisesite.com/718031/assets/mbr-switch-arrow/mbr-switch-arrow.js?rnd=1727007098590	C:/Users/Anu%20Rose/Downloads/techfest/r.mobirisesite.com/718031/assets/mbr-switch-arrow/mbr-switch-arrowdf1b.js	(from https://718031.mobirisesite.com/)
17:51:22	19944/19944	---MCZ	200	added ('OK')	application/javascript	etag:W/%228ce340250b1e24435cf6eff58d338694%22	https://r.mobirisesite.com/718031/assets/vimeoplayer/player.js?rnd=1727007098590	C:/Users/Anu%20Rose/Downloads/techfest/r.mobirisesite.com/718031/assets/vimeoplayer/playerdf1b.js	(from https://718031.mobirisesite.com/)
